video_id,hour1_views,hour1_likes,hour1_comments
-I7aqyMi3xA,69,2,0
50VImfXCzV4,24,0,0
hxpGlO_xypE,325,11,0
1k6JZjI7_lg,3530,0,0
rPNe0SDoejE,443,41,8
ebzgJL2IStg,553,30,5
clIBTfHqTcQ,540,60,10
Br1FYBvdqSs,2176,0,0
AvEolSAAnaI,3219,84,0
Kl8EF0WMC_k,208,1,0
y4l3s5mJ8yE,1482,13,1
i8QfD0vcqTw,2986,0,0
b9fLQvSKyTw,608,13,0
jd582OIvKTg,566,6,0
dBqfcgz-jzs,4854,214,1
RjmWKeRDYgM,609,0,72
Efa1QqNoNz8,608,3,0
rhy0l7Q_p28,704,19,2
OXOy60zCbzk,2878,192,10
Fg8Z9BT2ca4,8890,186,1
EUVPxo7qCpM,379,19,4
SZg6vO9dIbQ,415,6,0
AAg14apnrrU,231,22,3
89nJgvJiTv4,400,13,1
A98JZjr8sB4,592,5,0
J6lZEuoOx6Q,23951,162,0
bqDy_Tsfi9o,2380,0,19
xOl3_ACKsww,7424,197,0
haGYRYcXvmk,3152,231,48
PZbmn4N-B9U,5038,540,55
eR3PRKi1w4s,2371,52,0
5QamdXXIsrw,1242,239,30
yEB_vI8o1wM,3046,0,2
mkBSmnc6Ny0,4530,283,16
pSrRiRMgrg0,6895,499,3
v7PpdMpCC0A,2021,49,1
J7b88ykDdiU,380,13,0
6xMRQliY8VM,1711,0,0
7j948dk5Mo8,3190,23,0
R6ACo_cLRI0,4516,105,0
WebTozUjD8g,1826,0,7
AZ3977Im5n0,13016,2237,143
y4PvD_oUzvY,780,0,1
EMIcuNbxQkY,4571,89,1
Z7sdrxjSB1M,742,15,0
vv9_Y_XWmHk,356,6,1
5fzy5ELnHN8,220,41,4
NWbXgEn1rOA,767,0,0
1ESIKmX9zDw,273,6,0
xKxfLv_Ss6w,455,9,0
cSz1Sy4SCP8,339,7,0
PsrNZsBRxX0,475,6,8
1wPOCrBttq8,4723,132,4
8ACWBm_QdQE,683,12,0
jN6mPUuCMbI,293,31,10
OPGMmlHgilg,400,344,15
Oj-vgy0OMKw,4619,25,1
VcvfJAwbMYg,267,6,1
HQeNADU7A8Y,104,0,0
dYvayJDwHkI,416,14,0
cjuptXXzm0w,685,18,3
ecAVOzUBL3s,1594,13,0
FMIzzOlD3Gw,816,13,0
t0rVdSW_Qck,3304,199,21
KkOwKBv0F7s,308,4,0
dMlvYWjbao4,1014,80,2
JlgDmpDHoew,1905,187,3
-vYrxroRzcI,3602,74,2
j5Vm9dTCwuU,690,37,3
PzLQpV2ySvc,535,18,1
OGaDmS0k1B8,3693,0,4
6RUYHpFN9uk,570,0,0
36mi0V1ll0I,26,0,0
0JZvLW0P41s,695,5,0
